X1;n
01/14/2020;2
01/15/2020;0
01/16/2020;0
01/17/2020;0
01/18/2020;1
01/19/2020;1
01/20/2020;2
01/21/2020;3
01/22/2020;5
01/23/2020;9
01/24/2020;13
01/25/2020;8
01/26/2020;11
01/27/2020;26
01/28/2020;36
01/29/2020;39
01/30/2020;41
01/31/2020;48
02/01/2020;19
02/02/2020;16
02/03/2020;32
02/04/2020;23
02/05/2020;13
02/06/2020;12
02/07/2020;17
02/08/2020;11
02/09/2020;6
02/10/2020;14
02/11/2020;12
02/12/2020;10
02/13/2020;16
02/14/2020;12
02/15/2020;8
02/16/2020;8
02/17/2020;16
02/18/2020;9
02/19/2020;9
02/20/2020;14
02/21/2020;14
02/22/2020;4
02/23/2020;10
02/24/2020;52
02/25/2020;75
02/26/2020;55
02/27/2020;100
02/28/2020;95
02/29/2020;37
03/01/2020;31
03/02/2020;84
03/03/2020;83
03/04/2020;168
03/05/2020;107
03/06/2020;87
03/07/2020;59
03/08/2020;47
03/09/2020;206
03/10/2020;293
03/11/2020;355
03/12/2020;394
03/13/2020;415
03/14/2020;277
03/15/2020;249
03/16/2020;414
03/17/2020;421
03/18/2020;358
03/19/2020;373
03/20/2020;366
03/21/2020;220
03/22/2020;198
03/23/2020;315
03/24/2020;350
03/25/2020;318
03/26/2020;308
03/27/2020;302
03/28/2020;200
03/29/2020;164
03/30/2020;280
03/31/2020;286
04/01/2020;304
04/02/2020;228
04/03/2020;185
04/04/2020;148
04/05/2020;130
04/06/2020;173
04/07/2020;171
04/08/2020;181
04/09/2020;188
04/10/2020;161
04/11/2020;135
04/12/2020;95
04/13/2020;93
04/14/2020;155
04/15/2020;143
04/16/2020;161
04/17/2020;147
04/18/2020;111
04/19/2020;98
04/20/2020;186
04/21/2020;183
04/22/2020;176
04/23/2020;154
04/24/2020;158
04/25/2020;112
04/26/2020;100
04/27/2020;184
04/28/2020;147
04/29/2020;144
04/30/2020;139
05/01/2020;86
05/02/2020;103
05/03/2020;84
05/04/2020;165
05/05/2020;132
05/06/2020;123
05/07/2020;129
05/08/2020;107
05/09/2020;77
05/10/2020;78
05/11/2020;123
05/12/2020;120
05/13/2020;119
05/14/2020;135
05/15/2020;92
05/16/2020;71
05/17/2020;77
05/18/2020;113
05/19/2020;117
05/20/2020;104
05/21/2020;111
05/22/2020;93
05/23/2020;62
05/24/2020;67
05/25/2020;104
05/26/2020;87
05/27/2020;105
05/28/2020;92
05/29/2020;90
05/30/2020;66
05/31/2020;65
06/01/2020;92
06/02/2020;86
06/03/2020;66
06/04/2020;79
06/05/2020;86
06/06/2020;41
06/07/2020;41
06/08/2020;90
06/09/2020;92
06/10/2020;85
06/11/2020;62
06/12/2020;70
06/13/2020;58
06/14/2020;46
06/15/2020;66
06/16/2020;71
06/17/2020;69
06/18/2020;60
06/19/2020;61
06/20/2020;45
06/21/2020;44
06/22/2020;70
06/23/2020;74
06/24/2020;60
06/25/2020;57
06/26/2020;56
06/27/2020;43
06/28/2020;31
06/29/2020;40
06/30/2020;46
